,Make,Series,Model,Manufacturer code,First registration date,Year of manufacture,Mileage (read),Chassis number,Engine number,Gearbox number,Matching numbers,Previous owners,Body style,Power (kW/hp),Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
114,Porsche,DB 6,911 Carrera 3.2,W 140,Not provided,1984,"189,500 km",Not provided,Not provided,Not provided,Yes,Not provided,Convertible (Targa),152/207,3164,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"60,046"
115,Alfa Romeo,DB 6,2000 Spider,150,Not provided,1960,Not provided,Not provided,Not provided,Not provided,No,Not provided,Convertible,85/115,1975,4,Not provided,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"102,687"
116,Jaguar,Flying Spur,E-Type,"""Classic""",Not provided,1969,Not provided,Not provided,Not provided,Not provided,Yes,Not provided,Convertible (Roadster),195/265,4235,6,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"72,229"
117,Porsche,DB 4,356 A 1600,Serie I,04/1958,1958,424 km,Not provided,Not provided,Not provided,Yes,Not provided,Convertible,44/60,1582,4,2,Left (LHD),Manual,Not provided,Rear,Drum,Drum,Petrol,"213,206"
118,Lancia,500,Fulvia 1.3 S,"""Urmodell""",Not provided,1971,Not provided,Not provided,Not provided,Not provided,No,Not provided,Coupe,66/90,1298,4,2,Left (LHD),Manual,5,Front,Disc,Not provided,Petrol,"17,405"
119,Porsche,Kadett,968,Serie I,Not provided,1993,"130,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,177/240,2990,4,3,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"26,977"
120,MG,Junior Zagato,MGB GT,MK II,04/1968,1968,"53,265 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,71/96,1798,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Petrol,"15,229"
121,Aston Martin,SL-Class,DB 7 Volante,Typ 101,Not provided,1997,"56,000 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,250/340,3239,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"46,122"
122,Austin-Healey,Defender,3000 Mk III (BJ8),Tipo 105,Not provided,1967,Not provided,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),109/148,2912,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Drum,Petrol,"62,570"
123,Jaguar,E-Type,XK8 4.0,Serie II,06/2000,2000,"140,000 km",Not provided,Not provided,Not provided,Yes,Not provided,Coupe,209/284,3996,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,"22,017"
124,Triumph,575,Dolomite Sprint,X 164,04/1980,1980,"83,200 km",Not provided,Not provided,Not provided,No,2,Saloon,93/127,1998,4,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"20,450"
125,Jaguar,SL-Class,E-Type (2+2),140,01/1970,1970,"66,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,195/265,4235,6,2,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"65,180"
126,Peugeot,SL-Class,205 Rallye 1.3,Mark II,06/1989,1989,"151,000 km",VF320CM2201604543,Not provided,Not provided,No,Not provided,Saloon (3-doors),76/103,1294,4,3,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"26,107"
127,Adler,SL-Class,"2,5 Litre","""G-Modell""",06/1938,1938,"19,494 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,40/55,2494,6,2,Not specified,Manual,Not provided,Rear,Not provided,Not provided,Petrol,"112,260"
128,Aston Martin,220,V8 Volante,"""G-Modell""",08/1979,1979,"27,000 mls",Not provided,Not provided,Not provided,No,Not provided,Convertible,224/305,5340,8,2,Right (RHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"160,000"
129,Jaguar,SL-Class,E-Type V12,MK I,04/1972,1972,"2,600 mls",Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),203/276,5343,12,2,Right (RHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"67,500"
130,Aston Martin,SL-Class,V8 Vantage,Mustang I Serie 1,02/1977,1977,"48,000 mls",Not provided,Not provided,Not provided,No,Not provided,Coupe,316/430,5340,8,Not provided,Right (RHD),Automatic,Not provided,Rear,Not provided,Not provided,Not provided,"120,000"
131,Aston Martin,SL-Class,V8 Vantage,C 208,10/1983,1983,"95,000 mls",Not provided,Not provided,Not provided,No,Not provided,Coupe,316/430,5340,8,Not provided,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"255,000"
132,Aston Martin,SL-Class,V12 Vanquish,Mexico,12/2002,2002,"36,000 mls",Not provided,Not provided,Not provided,No,Not provided,Coupe,338/460,5935,12,2,Right (RHD),Manual,6,Rear,Disc,Disc,Petrol,"59,500"
133,Aston Martin,SL-Class,V8,930,08/1976,1976,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,232/315,5340,8,2,Right (RHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"125,000"
134,Aston Martin,S-Class,DB 7,E28,05/1999,1999,"41,000 mls",Not provided,Not provided,Not provided,No,Not provided,Coupe,250/340,3239,6,2,Right (RHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"19,995"
135,Aston Martin,S-Class,DB 6 Volante,Typ 116,12/1967,1967,"11,000 mls",Not provided,Not provided,Not provided,No,Not provided,Convertible,210/286,3995,6,2,Right (RHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"595,000"
136,Aston Martin,SL-Class,DB 6 Mk II,Serie I,10/1969,1969,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,210/286,3995,6,Not provided,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,rice on request
137,Aston Martin,XK,DB 6,Typ 11,02/1968,1968,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,207/282,3995,6,2,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
138,Aston Martin,Vantage,DB 5,997.2,02/1964,1964,"24,000 mls",Not provided,Not provided,Not provided,No,Not provided,Coupe,210/286,3995,6,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
139,Aston Martin,E-Class,DB 5,997.2,05/1965,1965,"35,000 mls",Not provided,Not provided,Not provided,No,Not provided,Coupe,210/286,3995,6,2,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"650,000"
140,Aston Martin,Ponton,DB 5,991.2,08/1964,1964,"3,000 mls",Not provided,Not provided,Not provided,No,Not provided,Coupe,210/286,3995,6,2,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"750,000"
141,Aston Martin,Silver Spur,DB 5,930,05/1964,1964,"1,500 mls",Not provided,Not provided,Not provided,No,Not provided,Coupe,210/286,3995,6,2,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"725,000"
142,Bentley,SL-Class,Flying Spur W12,"""Urmodell""",Not provided,2014,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),460/625,5998,12,4,Right (RHD),Automatic,8,4WD,Disc,Disc,Petrol,"62,950"
143,Aston Martin,SL-Class,DB 4 GT Zagato,E30,05/1961,1961,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,222/302,3670,6,Not provided,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,rice on request
144,FIAT,Silver Shadow,500 L,991.1,Not provided,1970,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),13/18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"13,053"
145,Land Rover,500,88,A 208,Not provided,1968,"70,920 mls",Not provided,Not provided,Not provided,No,Not provided,4x4,50/68,2286,4,Not provided,Right (RHD),Manual,4,4WD,Drum,Drum,Petrol,"16,000"
146,Opel,500,"Kadett 2,0i GSi 16V",Double Six Serie 2,Not provided,1989,"146,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),110/150,1998,4,2,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Not provided,"19,580"
147,Alfa Romeo,500,Junior Zagato GT 1600,ADO 30,06/1973,1973,"50,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,80/109,1600,4,3,Left (LHD),Manual,5,Rear,Not provided,Not provided,Petrol,"73,970"
148,Mercedes-Benz,500,250 SL,E Series,Not provided,1967,Not provided,Not provided,Not provided,Not provided,No,Not provided,Convertible,110/150,2496,6,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,rice on request
149,Land Rover,500,Defender 90,Typ 1900,Not provided,1992,Not provided,Not provided,Not provided,Not provided,No,Not provided,4x4,80/109,2495,4,Not provided,Left (LHD),Manual,5,4WD,Disc,Drum,Diesel,"27,847"
150,Jaguar,500,E-Type 3.8,Typ 19E,12/1962,1962,"89,900 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,198/269,3781,6,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"78,234"
151,Ferrari,500,575 Superamerica F1,W 116,Not provided,2006,Not provided,Not provided,Not provided,Not provided,Yes,Not provided,Coupe (Targa),397/540,5748,12,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,rice on request
152,Mercedes-Benz,600,190 SL,Typ 155,06/1960,1960,Not provided,Not provided,Not provided,Not provided,Yes,Not provided,Convertible (Roadster),77/105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,rice on request
153,Mercedes-Benz,500,190 SL,C 124,Not provided,1960,Not provided,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),77/105,1 (Factory: 1897),4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,rice on request
154,Mercedes-Benz,TR 3,190 SL,W 124,Not provided,1962,Not provided,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),77/105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,rice on request
155,Mercedes-Benz,TR 3,220 Cabriolet A,831,Not provided,1952,"9,120 mls",Not provided,Not provided,Not provided,No,Not provided,Convertible,59/80,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,rice on request
156,Mercedes-Benz,B9,230 SL,980,Not provided,1964,Not provided,Not provided,Not provided,Not provided,No,Not provided,Convertible,110/150,2306,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Drum,Petrol,rice on request
157,Mercedes-Benz,MS670,230 SL,Tipo 952,Not provided,1965,Not provided,Not provided,Not provided,Not provided,Yes,Not provided,Convertible,110/150,2306,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Drum,Petrol,rice on request
158,Mercedes-Benz,235,300 SL-24,991.1,Not provided,1992,Not provided,Not provided,Not provided,Not provided,Yes,Not provided,Convertible (Roadster),170/231,2960,6,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"30,458"
159,Mercedes-Benz,S-Class,"300 SL ""Gullwing""",Serie III,Not provided,1955,Not provided,Not provided,Not provided,Not provided,Yes,Not provided,Coupe,158/215,2996,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,rice on request
160,Mercedes-Benz,Bianchina,560 SL,Typ 57,Not provided,1988,Not provided,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),169/230,5547,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,rice on request
161,Mercedes-Benz,500,600,Typ 107,10/1968,1968,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),184/250,6289,8,4,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,rice on request
162,Mercedes-Benz,XK,600,R33,Not provided,1971,Not provided,Not provided,Not provided,Not provided,Yes,3,Saloon (4-doors),184/250,6332,8,4,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,rice on request
163,Mercedes-Benz,Range Rover,S 600,B Serie III,Not provided,1997,"27,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),290/394,5987,12,4,Left (LHD),Automatic,Not provided,Rear,Disc,Not provided,Petrol,rice on request
164,Mercedes-Benz,E-Type,S 600 C,ADO 30,Not provided,1993,"32,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,290/394,5987,12,2,Left (LHD),Automatic,Not provided,Not provided,Disc,Disc,Petrol,rice on request
165,Mercedes-Benz,500,SL 500,Series II,Not provided,2002,Not provided,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),225/306,4966,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,"18,275"
166,Jaguar,Mistral,XKR,924,05/2003,2003,"110,600 km",Not provided,Not provided,Not provided,Yes,2,Coupe,291/396,4196,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,"21,705"
167,Land Rover,911,Defender,"""Classic""",Not provided,2016,102 mls,Not provided,Not provided,Not provided,No,Not provided,4x4,90/122,2198,4,4,Right (RHD),Manual,6,4WD,Disc,Disc,Diesel,"40,000"
168,Aston Martin,E-Type,V12 Vantage AMR,MK III,04/2018,2018,775 mls,SCFERBFR3JGS23222,AM28/51183,Not provided,No,2,Coupe,444/603,5935,12,2,Right (RHD),Manual,7,Rear,Disc,Disc,Petrol,"174,002"
169,Lamborghini,V8,Gallardo,S1,Not provided,2005,"69,750 mls",Not provided,Not provided,Not provided,No,Not provided,Coupe,368/500,4961,10,2,Right (RHD),Manual,6,4WD,Disc,Disc,Petrol,"55,000"
170,Mercedes-Benz,Arnage,E 280 T,"""Urmodell""",Not provided,1995,"124,286 km",Not provided,Not provided,Not provided,Yes,2,Estate,145/197,2799,6,4,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"21,747"
171,Land Rover,MGA,109,E 36-8S,Not provided,1974,"129,581 mls",Not provided,Not provided,Not provided,No,Not provided,4x4,46/62,2286,4,Not provided,Right (RHD),Manual,Not provided,4WD,Not provided,Not provided,Petrol,"13,000"
172,Mercedes-Benz,Isetta,180,Sierra '87 - Serie II,05/1956,1956,"15,477 km",1200105516950,Not provided,Not provided,No,Not provided,Saloon (4-doors),38/52,1884,4,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"23,322"
173,Rolls-Royce,GTV,Silver Spur III,150,Not provided,1994,"55,480 mls",Not provided,Not provided,Not provided,No,Not provided,Saloon (Pullman),184/250,6750,8,Not provided,Right (RHD),Automatic,4,Rear,Not provided,Not provided,Petrol,"15,000"
174,Mercedes-Benz,4/4,500 SL,A,10/1985,1985,"89,100 km",Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),164/223,4973,8,2,Not specified,Automatic,4,Rear,Disc,Disc,Petrol,"52,127"
175,Mercedes-Benz,GL-Class,560 SL,996,12/1985,1985,"89,055 km",Not provided,Not provided,Not provided,No,1,Convertible (Roadster),169/230,5547,8,2,Not specified,Automatic,4,Rear,Disc,Disc,Petrol,"59,959"
176,Rolls-Royce,XK,Silver Shadow I,Sierra '90 - Serie III,Not provided,1971,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),147/200,6750,8,4,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"34,722"
177,FIAT,DB 2/4,Ghia 500 Jolly,Sierra '87 - Serie II,09/1969,1969,Not provided,Not provided,Not provided,Not provided,No,1,Convertible (Open),13/18,499,2,0,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"21,756"
178,FIAT,911,Ghia 500 Jolly,R 107,Not provided,1967,Not provided,Not provided,Not provided,Not provided,No,1,Convertible (Open),13/18,499,2,Not provided,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"21,756"
179,FIAT,911,500 L,EP3,08/1971,1971,"5,000 km",Not provided,Not provided,Not provided,No,2,Saloon (2-doors),13/18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"10,443"
180,FIAT,750,500 F,Serie I,01/1970,1970,"1,000 km",Not provided,Not provided,Not provided,No,1,Saloon (2-doors),13/18,499,2,2,Left (LHD),Manual,4,Rear,Not provided,Not provided,Petrol,"10,443"
181,FIAT,MGA,500 F,Serie V,Not provided,1970,Not provided,Not provided,Not provided,Not provided,No,2,Saloon (2-doors),13/18,499,2,2,Left (LHD),Manual,4,Rear,Not provided,Not provided,Petrol,"13,053"
182,FIAT,599,500 F,Phase I,09/1967,1967,"25,000 km",Not provided,Not provided,Not provided,Yes,2,Saloon (2-doors),13/18,499,2,2,Left (LHD),Manual,4,Rear,Not provided,Not provided,Petrol,"10,443"
183,FIAT,Cobra,500 L,Evo VI,Not provided,1970,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),13/18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"10,443"
184,FIAT,Mustang,"600 Ghia ""Jolly""",Evo X,Not provided,1964,Not provided,Not provided,Not provided,Not provided,No,Not provided,Convertible,23/31,767,4,2,Left (LHD),Manual,Not provided,Rear,Drum,Drum,Petrol,rice on request
185,FIAT,Flaminia,500 L,944,Not provided,1970,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),13/18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"10,443"
186,Triumph,Defender,TR 3A,F 129,Not provided,1958,1 km,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),74/100,1991,4,2,Centered,Manual,4,Rear,Disc,Drum,Petrol,rice on request
187,Triumph,CLK,TR 3A,Serie II,Not provided,1957,1 km,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),74/100,1991,4,2,Centered,Manual,4,Rear,Disc,Drum,Petrol,rice on request
188,Brabham,Beetle,BT8,ADO 13,Not provided,1964,1 km,Not provided,Not provided,Not provided,No,Not provided,Racing car,180/245,2495,4,0,Centered,Manual,4,Rear,Disc,Disc,Petrol,rice on request
189,Nota,911,FJ 38,Serie I,Not provided,1961,1 km,Not provided,Not provided,Not provided,No,Not provided,Racing car,88/120,1097,4,0,Centered,Manual,4,Rear,Disc,Disc,Petrol,rice on request
190,Chevron,5 Series,B9-F3,Series II,Not provided,1968,1 km,Not provided,Not provided,Not provided,No,Not provided,Racing car,143/195,1998,4,Not provided,Centered,Manual,5,Rear,Disc,Disc,Petrol,rice on request
191,BRM,1000,P25,Series II,Not provided,1958,1 km,Not provided,Not provided,Not provided,No,Not provided,Racing car,202/275,2491,4,0,Centered,Manual,5,Rear,Disc,Disc,Petrol,rice on request
192,Vanwall,Giulietta,VW 7,NA1,Not provided,1958,1 km,Not provided,Not provided,Not provided,No,Not provided,Racing car,210/285,2490,4,0,Centered,Manual,5,Rear,Disc,Disc,Petrol,rice on request
193,Ferrari,Fulvia,Testarossa,930,Not provided,1989,Not provided,Not provided,Not provided,Not provided,No,Not provided,Coupe,287/390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"143,588"
194,Matra-Simca,Dino,MS670B,928,Not provided,1974,1 km,Not provided,Not provided,Not provided,No,Not provided,Racing car,331/450,2999,12,0,Centered,Manual,5,Rear,Disc,Disc,Petrol,rice on request
195,Matra-Simca,R 21,MS650,E36 / 2S,Not provided,1969,1 km,Not provided,Not provided,Not provided,No,Not provided,Racing car,302/410,2999,12,0,Centered,Manual,5,Rear,Disc,Disc,Petrol,rice on request
196,McLaren-Elva,Prisma,M1A,Evo VI,Not provided,1965,1 km,Not provided,Not provided,Not provided,No,Not provided,Racing car,313/425,5700,8,Not provided,Centered,Manual,Not provided,Not provided,Not provided,Not provided,Not provided,rice on request
197,Delahaye,ES 30,235 MS Chapron,Serie I,Not provided,1954,1 km,Not provided,Not provided,Not provided,No,Not provided,Coupe,112/152,3557,6,2,Centered,Manual,4,Rear,Drum,Drum,Petrol,rice on request
198,BRM,Beetle,P201,Mustang I Serie 1 | K-Code,Not provided,1974,1 km,Not provided,Not provided,Not provided,No,Not provided,Racing car,331/450,2998,12,0,Centered,Manual,5,Rear,Disc,Disc,Petrol,rice on request
199,Elva,75,Mk VIII,Tipo 105,Not provided,1964,1 km,Not provided,Not provided,Not provided,No,Not provided,Racing car (Open),136/185,1991,4,Not provided,Centered,Manual,Not provided,Rear,Disc,Disc,Petrol,rice on request
200,Mercedes-Benz,Mistral,300 SE,Serie I,05/1991,1991,"76,500 km",WDB1400321A005264,10499012002449,72236803543229,Yes,1,Saloon (4-doors),170/231,3199,6,4,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"14,750"
201,Triumph,911,TR 6,MK VI,07/1971,1971,"26,024 mls",CC55961L,Not provided,Not provided,No,4,Convertible (Roadster),72/98,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,"21,669"
202,Autobianchi,911,Bianchina Giardiniera,Serie I,Not provided,1972,Not provided,Not provided,Not provided,Not provided,No,Not provided,Estate,13/18,496,2,Not provided,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"10,443"
203,FIAT,911,500 L,Typ 1900,Not provided,1969,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),13/18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"12,096"
204,Jaguar,911,XK 150 3.4 S DHC,ADO 17,12/1959,1959,"43,000 km",---,---,---,No,2,Convertible,147/200 (Factory: 187/254),4200 (Factory: 3442),6,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,"104,341"
205,Land Rover,911,Range Rover Classic Vogue EFI,Serie I,12/1988,1988,"214,500 km",Not provided,Not provided,Not provided,No,Not provided,4x4,134/182 (Factory: 120/163),3528,8,Not provided,Left (LHD),Automatic,Not provided,4WD,Not provided,Not provided,Petrol,"33,069"
206,FIAT,3 Series,128,Serie III,Not provided,1972,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),40/55,1116,4,4,Left (LHD),Manual,Not provided,Front,Disc,Not provided,Petrol,"14,900"
